,common_start,common_end,n_assets,total_return_pct,CAGR_pct,ann_vol_pct,sharpe,sortino,max_drawdown_pct,calmar,n_trades,fees_pct_initial,pct_days_invested
ew_overlay,2022-08-12,2026-08-01,10,89.9,17.53,34.2,0.644,0.914,-31.2,0.562,485.0,9.96,89.9
ew_hold,2022-08-12,2026-08-01,10,102.0,19.38,57.9,0.596,0.854,-62.9,0.308,0.0,0.0,100.0
